county,stname,ctyname,variable,value,year.label
033,Maryland,Prince George's County,npopchg_2012,8191,2012
035,Maryland,Queen Anne's County,npopchg_2012,241,2012
037,Maryland,St. Mary's County,npopchg_2012,1247,2012
039,Maryland,Somerset County,npopchg_2012,-219,2012
041,Maryland,Talbot County,npopchg_2012,42,2012
043,Maryland,Washington County,npopchg_2012,270,2012
045,Maryland,Wicomico County,npopchg_2012,505,2012
047,Maryland,Worcester County,npopchg_2012,79,2012
510,Maryland,Baltimore city,npopchg_2012,2531,2012
000,Maryland,Maryland,npopchg_2013,36632,2013
001,Maryland,Allegany County,npopchg_2013,-370,2013
003,Maryland,Anne Arundel County,npopchg_2013,5127,2013
005,Maryland,Baltimore County,npopchg_2013,4215,2013
009,Maryland,Calvert County,npopchg_2013,723,2013
011,Maryland,Caroline County,npopchg_2013,16,2013
013,Maryland,Carroll County,npopchg_2013,167,2013
015,Maryland,Cecil County,npopchg_2013,138,2013
017,Maryland,Charles County,npopchg_2013,1989,2013
019,Maryland,Dorchester County,npopchg_2013,86,2013
021,Maryland,Frederick County,npopchg_2013,1500,2013
023,Maryland,Garrett County,npopchg_2013,0,2013
025,Maryland,Harford County,npopchg_2013,336,2013
027,Maryland,Howard County,npopchg_2013,4370,2013
029,Maryland,Kent County,npopchg_2013,-158,2013
031,Maryland,Montgomery County,npopchg_2013,10212,2013
033,Maryland,Prince George's County,npopchg_2013,8247,2013
035,Maryland,Queen Anne's County,npopchg_2013,24,2013
037,Maryland,St. Mary's County,npopchg_2013,423,2013
039,Maryland,Somerset County,npopchg_2013,-74,2013
041,Maryland,Talbot County,npopchg_2013,-85,2013
043,Maryland,Washington County,npopchg_2013,-42,2013
045,Maryland,Wicomico County,npopchg_2013,294,2013
047,Maryland,Worcester County,npopchg_2013,-30,2013
510,Maryland,Baltimore city,npopchg_2013,-476,2013
000,Maryland,Maryland,npopchg_2014,34461,2014
001,Maryland,Allegany County,npopchg_2014,-559,2014
003,Maryland,Anne Arundel County,npopchg_2014,4253,2014
005,Maryland,Baltimore County,npopchg_2014,2768,2014
009,Maryland,Calvert County,npopchg_2014,107,2014
011,Maryland,Caroline County,npopchg_2014,-112,2014
013,Maryland,Carroll County,npopchg_2014,118,2014
015,Maryland,Cecil County,npopchg_2014,310,2014
017,Maryland,Charles County,npopchg_2014,1724,2014
019,Maryland,Dorchester County,npopchg_2014,-64,2014
021,Maryland,Frederick County,npopchg_2014,2274,2014
023,Maryland,Garrett County,npopchg_2014,-315,2014
025,Maryland,Harford County,npopchg_2014,438,2014
027,Maryland,Howard County,npopchg_2014,3415,2014
029,Maryland,Kent County,npopchg_2014,-41,2014
031,Maryland,Montgomery County,npopchg_2014,9553,2014
